,word,wordcount_before,percentage_before,wordcount_onafter,percentage_onafter,wordcount_difference,percentage_difference
900,spices,5,1.3987383380191068e-05,4,2.7000573762192447e-05,-1,93.03520199804245
901,see,5,1.3987383380191068e-05,4,2.7000573762192447e-05,-1,93.03520199804245
902,radio,5,1.3987383380191068e-05,4,2.7000573762192447e-05,-1,93.03520199804245
903,package,5,1.3987383380191068e-05,4,2.7000573762192447e-05,-1,93.03520199804245
904,flowers,5,1.3987383380191068e-05,4,2.7000573762192447e-05,-1,93.03520199804245
905,window,5,1.3987383380191068e-05,4,2.7000573762192447e-05,-1,93.03520199804245
906,stenciled,5,1.3987383380191068e-05,4,2.7000573762192447e-05,-1,93.03520199804245
907,medicine,5,1.3987383380191068e-05,4,2.7000573762192447e-05,-1,93.03520199804245
908,soap,5,1.3987383380191068e-05,4,2.7000573762192447e-05,-1,93.03520199804245
909,surface,5,1.3987383380191068e-05,4,2.7000573762192447e-05,-1,93.03520199804245
910,selective,5,1.3987383380191068e-05,4,2.7000573762192447e-05,-1,93.03520199804245
911,signed,5,1.3987383380191068e-05,4,2.7000573762192447e-05,-1,93.03520199804245
912,cylinder,5,1.3987383380191068e-05,4,2.7000573762192447e-05,-1,93.03520199804245
913,von,5,1.3987383380191068e-05,4,2.7000573762192447e-05,-1,93.03520199804245
914,screenprint\r\n,5,1.3987383380191068e-05,4,2.7000573762192447e-05,-1,93.03520199804245
915,schuler,5,1.3987383380191068e-05,4,2.7000573762192447e-05,-1,93.03520199804245
916,’,5,1.3987383380191068e-05,4,2.7000573762192447e-05,-1,93.03520199804245
917,match,5,1.3987383380191068e-05,4,2.7000573762192447e-05,-1,93.03520199804245
918,framed,5,1.3987383380191068e-05,4,2.7000573762192447e-05,-1,93.03520199804245
919,heinrich,5,1.3987383380191068e-05,4,2.7000573762192447e-05,-1,93.03520199804245
920,projected,5,1.3987383380191068e-05,4,2.7000573762192447e-05,-1,93.03520199804245
921,scorched,5,1.3987383380191068e-05,4,2.7000573762192447e-05,-1,93.03520199804245
922,seleniumtoned,5,1.3987383380191068e-05,4,2.7000573762192447e-05,-1,93.03520199804245
923,max,5,1.3987383380191068e-05,4,2.7000573762192447e-05,-1,93.03520199804245
924,dispenser,5,1.3987383380191068e-05,4,2.7000573762192447e-05,-1,93.03520199804245
925,shoe,5,1.3987383380191068e-05,4,2.7000573762192447e-05,-1,93.03520199804245
926,scored,5,1.3987383380191068e-05,4,2.7000573762192447e-05,-1,93.03520199804245
927,selenium,5,1.3987383380191068e-05,4,2.7000573762192447e-05,-1,93.03520199804245
928,straw,5,1.3987383380191068e-05,4,2.7000573762192447e-05,-1,93.03520199804245
929,basswood,5,1.3987383380191068e-05,4,2.7000573762192447e-05,-1,93.03520199804245
930,bowl,5,1.3987383380191068e-05,4,2.7000573762192447e-05,-1,93.03520199804245
931,tray,5,1.3987383380191068e-05,4,2.7000573762192447e-05,-1,93.03520199804245
932,cabinet,5,1.3987383380191068e-05,4,2.7000573762192447e-05,-1,93.03520199804245
933,switch,5,1.3987383380191068e-05,4,2.7000573762192447e-05,-1,93.03520199804245
934,carton,5,1.3987383380191068e-05,4,2.7000573762192447e-05,-1,93.03520199804245
935,speaker,5,1.3987383380191068e-05,4,2.7000573762192447e-05,-1,93.03520199804245
936,silvered,5,1.3987383380191068e-05,4,2.7000573762192447e-05,-1,93.03520199804245
937,samples,5,1.3987383380191068e-05,4,2.7000573762192447e-05,-1,93.03520199804245
938,strap,5,1.3987383380191068e-05,4,2.7000573762192447e-05,-1,93.03520199804245
939,paper\r\ne,5,1.3987383380191068e-05,4,2.7000573762192447e-05,-1,93.03520199804245
940,wheels,5,1.3987383380191068e-05,4,2.7000573762192447e-05,-1,93.03520199804245
941,modeling,5,1.3987383380191068e-05,4,2.7000573762192447e-05,-1,93.03520199804245
942,sign,5,1.3987383380191068e-05,4,2.7000573762192447e-05,-1,93.03520199804245
943,packing,5,1.3987383380191068e-05,4,2.7000573762192447e-05,-1,93.03520199804245
944,dat,5,1.3987383380191068e-05,4,2.7000573762192447e-05,-1,93.03520199804245
945,wheel,5,1.3987383380191068e-05,4,2.7000573762192447e-05,-1,93.03520199804245
946,neoprene,5,1.3987383380191068e-05,4,2.7000573762192447e-05,-1,93.03520199804245
947,sequins,5,1.3987383380191068e-05,4,2.7000573762192447e-05,-1,93.03520199804245
948,lens,4,1.1189906704152854e-05,4,2.7000573762192447e-05,0,141.2940024975531
949,blackandwhite,4,1.1189906704152854e-05,4,2.7000573762192447e-05,0,141.2940024975531
950,suspended,4,1.1189906704152854e-05,4,2.7000573762192447e-05,0,141.2940024975531
951,krapp,4,1.1189906704152854e-05,4,2.7000573762192447e-05,0,141.2940024975531
952,formed,4,1.1189906704152854e-05,4,2.7000573762192447e-05,0,141.2940024975531
953,straps,4,1.1189906704152854e-05,4,2.7000573762192447e-05,0,141.2940024975531
954,manipulated,4,1.1189906704152854e-05,3,2.0250430321644337e-05,-1,80.97050187316482
955,doll,4,1.1189906704152854e-05,3,2.0250430321644337e-05,-1,80.97050187316482
956,injected,4,1.1189906704152854e-05,3,2.0250430321644337e-05,-1,80.97050187316482
957,rubberized,4,1.1189906704152854e-05,3,2.0250430321644337e-05,-1,80.97050187316482
958,circuit,4,1.1189906704152854e-05,3,2.0250430321644337e-05,-1,80.97050187316482
959,tripod,4,1.1189906704152854e-05,3,2.0250430321644337e-05,-1,80.97050187316482
960,capek,4,1.1189906704152854e-05,3,2.0250430321644337e-05,-1,80.97050187316482
961,josef,4,1.1189906704152854e-05,3,2.0250430321644337e-05,-1,80.97050187316482
