,word,wordcount,percentage
1117,without,33,9.231673030926105e-05
1645,\r\n\r\n,33,9.231673030926105e-05
440,handle,33,9.231673030926105e-05
190,dry,33,9.231673030926105e-05
1000,vignette,32,8.951925363322283e-05
1257,pictorial,32,8.951925363322283e-05
310,nickelplated,32,8.951925363322283e-05
520,bead,32,8.951925363322283e-05
363,upholstery,32,8.951925363322283e-05
291,polyurethane,32,8.951925363322283e-05
868,original,32,8.951925363322283e-05
345,woven,32,8.951925363322283e-05
2697,motor,32,8.951925363322283e-05
771,microfilm,32,8.951925363322283e-05
2033,handcolored,31,8.672177695718462e-05
832,open,31,8.672177695718462e-05
2280,gummed,31,8.672177695718462e-05
158,paper\r\nb,31,8.672177695718462e-05
4087,stereo,31,8.672177695718462e-05
676,latex,30,8.39243002811464e-05
1874,silvergelatin,30,8.39243002811464e-05
2508,hardboard,30,8.39243002811464e-05
228,walnut,29,8.11268236051082e-05
974,burlap,29,8.11268236051082e-05
59,coated,29,8.11268236051082e-05
30,yellow,29,8.11268236051082e-05
93,map,29,8.11268236051082e-05
349,mesh,29,8.11268236051082e-05
689,green,29,8.11268236051082e-05
1771,boxes,29,8.11268236051082e-05
267,polished,29,8.11268236051082e-05
399,favrile,29,8.11268236051082e-05
2026,later,28,7.832934692906997e-05
527,head,28,7.832934692906997e-05
1390,lid,28,7.832934692906997e-05
1163,border,28,7.832934692906997e-05
985,image,28,7.832934692906997e-05
2188,vacuumformed,28,7.832934692906997e-05
298,tubing,28,7.832934692906997e-05
1177,found,27,7.553187025303177e-05
1047,photolithographed,27,7.553187025303177e-05
19,letraset,27,7.553187025303177e-05
1312,readymade,27,7.553187025303177e-05
1619,chromolithograph,27,7.553187025303177e-05
2174,tonal,26,7.273439357699356e-05
1693,et,26,7.273439357699356e-05
2063,readerprinter,26,7.273439357699356e-05
2163,stereotype,26,7.273439357699356e-05
980,carborundum,26,7.273439357699356e-05
311,tube,26,7.273439357699356e-05
491,china,26,7.273439357699356e-05
204,pewter,26,7.273439357699356e-05
217,cork,26,7.273439357699356e-05
3010,apex,26,7.273439357699356e-05
132,selfadhesive,26,7.273439357699356e-05
1170,issue,25,6.993691690095534e-05
3556,fils,25,6.993691690095534e-05
2032,waxedpaper,25,6.993691690095534e-05
313,cord,25,6.993691690095534e-05
1533,costume,25,6.993691690095534e-05
3555,père,25,6.993691690095534e-05
929,pulp,25,6.993691690095534e-05
1045,thirtyfive,25,6.993691690095534e-05
257,melamine,25,6.993691690095534e-05
136,clear,25,6.993691690095534e-05
1644,\r\n\r\n\r\n,25,6.993691690095534e-05
268,chrome,25,6.993691690095534e-05
3554,gassman,25,6.993691690095534e-05
2117,autotype,25,6.993691690095534e-05
449,rope,24,6.713944022491713e-05
1991,monoprint,24,6.713944022491713e-05
3538,performance,24,6.713944022491713e-05
1188,punched,24,6.713944022491713e-05
2300,clipping,24,6.713944022491713e-05
1060,unique,24,6.713944022491713e-05
979,wallpaper,24,6.713944022491713e-05
667,tin,24,6.713944022491713e-05
322,shell,24,6.713944022491713e-05
1762,duplicated,24,6.713944022491713e-05
728,welded,24,6.713944022491713e-05
883,holes,24,6.713944022491713e-05
2028,chicago,23,6.434196354887891e-05
737,audio,23,6.434196354887891e-05
2371,roulette\r\n,23,6.434196354887891e-05
435,construction,23,6.434196354887891e-05
1003,added,23,6.434196354887891e-05
483,blade,23,6.434196354887891e-05
2698,stage,23,6.434196354887891e-05
3541,cd,23,6.434196354887891e-05
2216,digital,23,6.434196354887891e-05
1098,medium,23,6.434196354887891e-05
478,handpainted,23,6.434196354887891e-05
848,glassine,23,6.434196354887891e-05
1602,woodblock,23,6.434196354887891e-05
1320,first,23,6.434196354887891e-05
2090,transparency,22,6.15444868728407e-05
1889,wall,22,6.15444868728407e-05
2045,toned,22,6.15444868728407e-05
1624,fourcolor,22,6.15444868728407e-05
1800,cutandtaped,22,6.15444868728407e-05
103,composition,22,6.15444868728407e-05
302,beech,22,6.15444868728407e-05
1085,include,22,6.15444868728407e-05
1770,glued,21,5.874701019680249e-05
1786,airbrushed,21,5.874701019680249e-05
253,teak,21,5.874701019680249e-05
372,top,21,5.874701019680249e-05
984,typed,21,5.874701019680249e-05
1824,sandpaper,21,5.874701019680249e-05
43,sepia,21,5.874701019680249e-05
279,fiber,21,5.874701019680249e-05
